iso3,indicator,latest_value,latest_date,change_12m_pct,change_3m_pct,trend_5y,regional_median,position_fr,position_en,trend_sens_fr,trend_sens_en
ABW,Commodity dependence,0.0602540892919389,2023-12-31,159.91746774538194,159.91746774538194,0.0005826097631256993,3.00864273328603,sous la mediane regionale,below regional median,stable,stable
ABW,Control of corruption,0.8687982,2024-12-31,0.14264131604854882,0.14264131604854882,-0.2963646000000001,-0.2654917,au-dessus de la mediane regionale,above regional median,en degradation,worsening
ABW,Current account,5.19136770255524,2023-12-31,-25.094166201147555,-25.094166201147555,5.7827341702521,-1.66760721722233,au-dessus de la mediane regionale,above regional median,en amelioration,improving
ABW,Dependency ratio,51.2895227154925,2024-12-31,1.5639046999127728,1.5639046999127728,3.1895444145268996,48.981079443401555,proche de la mediane regionale,near regional median,en degradation,worsening
ABW,Fiscal balance,5.363,2026-12-31,188.02363050483353,188.02363050483353,15.231000000000002,-1.4900000000000002,au-dessus de la mediane regionale,above regional median,en amelioration,improving
ABW,GDP growth,6.81077669324554,2024-12-31,-28.430865022879857,-28.430865022879857,5.58163260428539,3.3669492581395,au-dessus de la mediane regionale,above regional median,en amelioration,improving
ABW,Gen gov debt,60.261,2026-12-31,-5.251489756450364,-5.251489756450364,-49.410000000000004,63.608,proche de la mediane regionale,near regional median,en amelioration,improving
ABW,Inflation,4.25746204335427,2019-12-31,17.413497470511313,17.413497470511313,3.836021124473056,3.42967284899735,au-dessus de la mediane regionale,above regional median,en degradation,worsening
ABW,Political stability,1.3302095,2024-12-31,-0.448345955318223,-0.448345955318223,-0.004727899999999785,0.3600136,au-dessus de la mediane regionale,above regional median,stable,stable
ABW,Regulatory quality,0.9808972,2024-12-31,0.06279828163662865,0.06279828163662865,-0.0050010999999999806,-0.0738011,au-dessus de la mediane regionale,above regional median,stable,stable
ABW,Reserves,5.82381270702624,2023-12-31,-16.54377554500039,-16.54377554500039,1.2066433437025603,4.20470125653228,au-dessus de la mediane regionale,above regional median,en amelioration,improving
ABW,Rule of law,1.22006,2024-12-31,-0.0052945412296391894,-0.0052945412296391894,-0.07300250000000008,-0.2513801,au-dessus de la mediane regionale,above regional median,en degradation,worsening
AFG,Commodity dependence,8.0512789669382,2019-12-31,-21.1677600617734,-21.1677600617734,,10.0847170807725,sous la mediane regionale,below regional median,en degradation,worsening
AFG,Control of corruption,-1.3087183,2024-12-31,-9.173189201490242,-9.173189201490242,0.1926452999999999,-0.5708422,sous la mediane regionale,below regional median,en amelioration,improving
AFG,Current account,-15.7183027911684,2020-12-31,22.072677709707246,22.072677709707246,6.1943545443467,0.124893414067427,sous la mediane regionale,below regional median,en amelioration,improving
AFG,Debt service,2.67397501265809,2020-12-31,-10.095462120097494,-10.095462120097494,-0.6256333393779698,12.9254798325863,sous la mediane regionale,below regional median,en amelioration,improving
AFG,Dependency ratio,82.7768483158234,2024-12-31,-1.2635649885654427,-1.2635649885654427,-5.7351792963987975,51.2977156907185,au-dessus de la mediane regionale,above regional median,en amelioration,improving
AFG,External debt,19.8909368152618,2023-12-31,-14.76597018051075,-14.76597018051075,5.2485121495102,35.6282760521045,sous la mediane regionale,below regional median,en degradation,worsening
AFG,Fiscal balance,-0.891,2025-12-31,-62.591240875912405,-62.591240875912405,1.3519999999999999,-1.4489999999999998,au-dessus de la mediane regionale,above regional median,en amelioration,improving
AFG,GDP growth,1.87319280045979,2024-12-31,-17.369241666377825,-17.369241666377825,-2.0384106157957302,2.3991692678251,sous la mediane regionale,below regional median,en degradation,worsening
AFG,Gen gov debt,7.976,2025-12-31,-10.502692998204676,-10.502692998204676,0.6449999999999996,53.242000000000004,sous la mediane regionale,below regional median,en degradation,worsening
AFG,Inflation,-6.60118564073726,2024-12-31,-42.12270468972717,-42.12270468972717,-8.9035581559056,2.6116961151764,sous la mediane regionale,below regional median,en amelioration,improving
AFG,Political stability,-2.2052112,2024-12-31,7.8197945493735075,7.8197945493735075,0.3841602000000002,-0.9248175,sous la mediane regionale,below regional median,en amelioration,improving
AFG,Regulatory quality,-1.538435,2024-12-31,-7.540693132371579,-7.540693132371579,-0.26221720000000004,-0.4676244,sous la mediane regionale,below regional median,en degradation,worsening
AFG,Reserves,16.6316336551941,2020-12-31,20.966932919073898,20.966932919073898,6.86143969476292,5.978693032108115,au-dessus de la mediane regionale,above regional median,en amelioration,improving
AFG,Rule of law,-1.9354887,2024-12-31,-2.0394136455776946,-2.0394136455776946,-0.27833379999999996,-0.6967772,sous la mediane regionale,below regional median,en degradation,worsening
AFG,Unemployment,13.687,2024-12-31,-2.291547687035978,-2.291547687035978,2.5,9.103,au-dessus de la mediane regionale,above regional median,en degradation,worsening
AFG,Youth unemployment,17.235,2024-12-31,-1.48050760260661,-1.48050760260661,1.7149999999999999,21.307,sous la mediane regionale,below regional median,en degradation,worsening
AGO,Commodity dependence,94.1347736309318,2024-12-31,-0.03856029556871257,-0.03856029556871257,-1.1144746964121026,1.604781106301575,au-dessus de la mediane regionale,above regional median,en amelioration,improving
AGO,Control of corruption,-0.6225793,2024-12-31,0.2679207332682223,0.2679207332682223,0.3422195,-0.7934948,au-dessus de la mediane regionale,above regional median,en amelioration,improving
AGO,Current account,6.12127885547185,2024-12-31,55.105317691425306,55.105317691425306,-0.2060441747894597,-4.05918464223764,au-dessus de la mediane regionale,above regional median,en degradation,worsening
AGO,Debt service,28.9122414363047,2024-12-31,-13.577558006795437,-13.577558006795437,-1.0038208317147976,11.8141665228846,au-dessus de la mediane regionale,above regional median,en amelioration,improving
AGO,Dependency ratio,89.4060806363382,2024-12-31,-0.7208295097862318,-0.7208295097862318,-2.2409589941344024,76.3947216046137,au-dessus de la mediane regionale,above regional median,en amelioration,improving
