country,indicator,date,value
CHL,Inflation,2010-12-31,1.41071107954321
CHL,Inflation,2009-12-31,0.353045178360937
CHL,Inflation,2008-12-31,8.71626873039607
CHL,Inflation,2007-12-31,4.40779938398044
CHL,Inflation,2006-12-31,3.39201733699405
CHL,Inflation,2005-12-31,3.05257621387849
CHL,Inflation,2004-12-31,1.05473871403517
CHL,Inflation,2003-12-31,2.8101787574361
CHL,Inflation,2002-12-31,2.48939816650705
CHL,Inflation,2001-12-31,3.56910053001467
CHL,Inflation,2000-12-31,3.84327295706565
CHL,Interest rate,2018-12-31,4.17801925025561
CHL,Interest rate,2017-12-31,4.55285507889072
CHL,Interest rate,2016-12-31,5.58839657725206
CHL,Interest rate,2015-12-31,5.51492732291402
CHL,Interest rate,2014-12-31,8.09805824839012
CHL,Interest rate,2013-12-31,9.26187678192101
CHL,Interest rate,2012-12-31,10.0572624433615
CHL,Interest rate,2011-12-31,9.03015252269429
CHL,Interest rate,2010-12-31,4.75482680518703
CHL,Interest rate,2009-12-31,7.25063476884463
CHL,Interest rate,2008-12-31,13.261771366415
CHL,Interest rate,2007-12-31,8.67125848644778
CHL,Interest rate,2006-12-31,7.99948207856606
CHL,Interest rate,2005-12-31,6.67787900981346
CHL,Interest rate,2004-12-31,5.12700362788107
CHL,Interest rate,2003-12-31,6.17877873086097
CHL,Interest rate,2002-12-31,7.75807289652374
CHL,Interest rate,2001-12-31,11.8910098561076
CHL,Interest rate,2000-12-31,14.8433912347788
CHL,GDP growth,2025-12-31,2.45925474781374
CHL,GDP growth,2024-12-31,2.80512637106611
CHL,GDP growth,2023-12-31,0.677024831595858
CHL,GDP growth,2022-12-31,2.06391864254198
CHL,GDP growth,2021-12-31,11.3374032409913
CHL,GDP growth,2020-12-31,-6.1396969411886
CHL,GDP growth,2019-12-31,0.644223402631923
CHL,GDP growth,2018-12-31,3.99002947789977
CHL,GDP growth,2017-12-31,1.35769537343957
CHL,GDP growth,2016-12-31,1.753038749071
