iso3,gdp_growth_latest,inflation_latest
ABW,6.81077669324554,4.25746204335427
AFG,1.87319280045979,-6.60118564073726
AGO,4.95267860425956,28.2404948915772
ALB,4.04592845095348,2.21587375089992
ARE,3.99181200361831,1.66336510224894
ARG,4.36733330217022,219.883929014578
ARM,5.90000000046228,0.269511978259125
ATG,2.54044193946544,6.19886698842116
AUS,1.37340773365975,3.16656665428797
AUT,-0.659089573171372,2.93791574279376
AZE,4.15806800428062,2.21217188919901
BDI,4.11227376394912,20.2124925027847
BEL,1.09775383828703,3.14349136500041
BEN,7.45311566226201,1.16093089640415
BFA,4.83395810163883,4.19081721344523
BGD,4.22325911250161,10.4657482763412
BGR,3.38708962009333,2.44651943006079
BHR,2.89710543153512,0.919635459817651
BHS,3.37866553336166,0.409162489083286
BIH,3.22679979810856,6.1059011284828
BLR,4.34999638140579,5.78531910428005
BLZ,3.50466435023895,3.28955985952768
BOL,-1.12335595517212,5.09976568317427
BRA,3.41931516501906,4.36746407652337
BRB,3.3669492581395,1.4464366430616
BRN,4.05251709306727,-0.388674165036461
BTN,7.49856206754038,2.76131569624098
BWA,-2.77988981666252,2.81835131676251
CAF,1.49999999847535,1.47733600718744
CAN,2.04626605401701,2.38158383281173
CHE,1.39033363875791,1.06234041976595
CHL,2.45925474781374,4.21293601694293
CHN,4.95830378788091,0.218128938439177
CIV,6.0195346193922,3.45053028131019
CMR,3.52472308052245,4.53331349711606
COD,6.1025294442863,2.88585107289988
COG,2.09998918002519,3.09143630919166
COL,1.49330728771066,5.14222911946201
COM,3.30071498500033,5.05192609588218
CPV,6.98888280991075,1.04817001091965
CRI,4.08292444182048,-0.412853001047069
CUW,5.02690015475606,2.62220783425059
CYM,3.75641197192778,-0.62525835861814
CYP,3.94076934447787,1.80023018624824
CZE,1.25131096245923,2.43531202435314
DEU,-0.495851897260366,2.2564981433876
DJI,6.98048467276334,2.1120116728497
DMA,2.052738472526,2.73620751873313
DNK,3.47783593140312,1.37220049768926
DOM,4.95352204492849,3.30223338951227
DZA,3.69999999907979,4.04611455313434
ECU,-1.94409022506859,1.54732515615369
EGY,2.3991692678251,28.2705899322083
ESP,3.45525405630191,2.747147886618
EST,-0.0900428648493801,3.5194118998392
ETH,7.61277447616879,21.0377460577711
FIN,0.374566568538427,1.56568906231616
FJI,3.53085896076352,3.89084237884105
FRA,1.19046798275883,1.99904942291463
FSM,2.30132923576443,5.40874375479067
GAB,3.39403899521831,1.17311998381218
GBR,1.08027716858781,3.2715729463592
GEO,9.67979379712661,1.10971758022096
GHA,5.84746854280382,22.8483281157842
GIN,5.35004659049265,8.12313914948596
GMB,5.55126065805138,11.5610532897511
GNB,4.40920107183611,3.76555825770114
GNQ,0.39622552095193,2.92140227309103
GRC,2.0865743380603,2.74101875679486
GRD,2.3996478454327,1.08615365134737
GTM,3.71558453779777,2.86992752918294
GUY,43.8192726391966,2.90379501424778
HKG,2.62936861207362,1.72972119105914
HND,3.63240745450875,4.60621098127101
HRV,3.82578440126859,2.97200477643626
HTI,-4.18495104762965,26.9490564091987
HUN,0.709070599066038,3.70370370370369
IDN,5.03257477088519,2.18151273615189
IND,7.09927893176518,4.95303550973661
IRL,2.59946721553708,2.11344999577317
IRN,3.66312057949303,32.455871402917
IRQ,-1.54525198319173,2.6116961151764
ISL,-1.2828764442695,5.85683849970072
