iso3,indicator,side,rule_id,label_en,label_fr,value
UGA,Reserves,risk,reserves_low,Reserves below 3 months of imports,Réserves sous 3 mois d'importations,2.39405352978069
UGA,Rule of law,risk,rule_of_law_low,Rule of law below -0.5,"État de droit inférieur à -0,5",-0.7385242999999999
UGA,Unemployment,opportunity,unemp_low,Low unemployment below 5 % (value: 2.7),Chômage faible sous 5 % (valeur : 2.7),2.74
UGA,Youth unemployment,opportunity,youth_unemp_low,Youth unemployment below 12 % (value: 4.2),Chômage des jeunes sous 12 % (valeur : 4.2),4.211
UKR,Control of corruption,risk,corruption_high,Control of corruption below -0.5,"Maîtrise de la corruption inférieure à -0,5",-0.6723809
UKR,Current account,risk,ca_deficit,Current account deficit beyond -5 % of GDP,Déficit courant au-delà de -5 % du PIB,-7.96032840013333
UKR,External debt,risk,external_debt_high,External debt above 60% of GNI,Dette externe supérieure à 60 % du RNB,101.267169892573
UKR,Fiscal balance,risk,fiscal_deficit,Fiscal deficit beyond -5 % of GDP,Déficit budgétaire au-delà de -5 % du PIB,-18.441
UKR,Gen gov debt,risk,debt_high,Government debt above 90 % of GDP,Dette publique au-dessus de 90 % du PIB,122.563
UKR,Gini,opportunity,gini_low,"Low inequality (Gini below 35, value: 25.6)","Inégalités contenues (Gini sous 35, valeur : 25.6)",25.6
UKR,Rule of law,risk,rule_of_law_low,Rule of law below -0.5,"État de droit inférieur à -0,5",-0.7201989999999999
URY,Control of corruption,opportunity,corruption_ctrl_high,Good control of corruption above 0.5 (value: 1.53),"Maîtrise de la corruption solide au-dessus de 0,5 (valeur : 1.53)",1.5279256
URY,Political stability,opportunity,pol_stability_high,Strong political stability above 0.5 (value: 1.28),"Stabilité politique solide au-dessus de 0,5 (valeur : 1.28)",1.2779376
URY,Regulatory quality,opportunity,regulatory_quality_high,Strong regulatory quality at 0.65: sound policy framework.,Qualité réglementaire solide à 0.65 : cadre politique sain.,0.6468484
URY,Reserves,opportunity,reserves_high,Comfortable reserves above 6 months of imports (value: 7.7),Réserves confortables au-dessus de 6 mois d'importations (valeur : 7.7),7.72408741763541
URY,Rule of law,opportunity,rule_of_law_high,Strong rule of law at 0.95: solid legal enforcement.,État de droit solide à 0.95 : application du droit fiable.,0.9505638
URY,Youth unemployment,risk,youth_unemp_high,Youth unemployment above 25 %,Chômage des jeunes supérieur à 25 %,26.698
USA,Control of corruption,opportunity,corruption_ctrl_high,Good control of corruption above 0.5 (value: 1.09),"Maîtrise de la corruption solide au-dessus de 0,5 (valeur : 1.09)",1.0868913999999998
USA,Fiscal balance,risk,fiscal_deficit,Fiscal deficit beyond -5 % of GDP,Déficit budgétaire au-delà de -5 % du PIB,-7.502
USA,Gen gov debt,risk,debt_high,Government debt above 90 % of GDP,Dette publique au-dessus de 90 % du PIB,125.781
USA,Inflation,opportunity,inflation_low,Inflation contained below 3 % (value: 2.9),Inflation contenue sous 3 % (valeur : 2.9),2.94952520485207
USA,Regulatory quality,opportunity,regulatory_quality_high,Strong regulatory quality at 1.35: sound policy framework.,Qualité réglementaire solide à 1.35 : cadre politique sain.,1.3524886
USA,Reserves,risk,reserves_low,Reserves below 3 months of imports,Réserves sous 3 mois d'importations,1.94032058064747
USA,Rule of law,opportunity,rule_of_law_high,Strong rule of law at 0.96: solid legal enforcement.,État de droit solide à 0.96 : application du droit fiable.,0.9617896
USA,Unemployment,opportunity,unemp_low,Low unemployment below 5 % (value: 4.0),Chômage faible sous 5 % (valeur : 4.0),4.022
USA,Youth unemployment,opportunity,youth_unemp_low,Youth unemployment below 12 % (value: 8.9),Chômage des jeunes sous 12 % (valeur : 8.9),8.92
UZB,Control of corruption,risk,corruption_high,Control of corruption below -0.5,"Maîtrise de la corruption inférieure à -0,5",-0.7543162999999999
